Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name	docid	chrname	seqid	speciescode	genomefa
SUPER_36	assembled-molecule	36	Chromosome	OV839397.1	<>	na	Primary Assembly	2110544	na	12133881	chrSUPER_36	OV839397.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_37	assembled-molecule	37	Chromosome	OV839398.1	<>	na	Primary Assembly	653593	na	12133881	chrSUPER_37	OV839398.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_38	assembled-molecule	38	Chromosome	OV839399.1	<>	na	Primary Assembly	428882	na	12133881	chrSUPER_38	OV839399.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_W	assembled-molecule	W	Chromosome	OV839371.1	<>	na	Primary Assembly	39876367	na	12133881	chrSUPER_W	OV839371.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
SUPER_Z	assembled-molecule	Z	Chromosome	OV839360.1	<>	na	Primary Assembly	89764762	na	12133881	chrSUPER_Z	OV839360.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig4	unplaced-scaffold	na	na	CAKNBG010000004.1	<>	na	Primary Assembly	2612000	na	12133881	chrcontig4	CAKNBG010000004.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig5	unplaced-scaffold	na	na	CAKNBG010000005.1	<>	na	Primary Assembly	4236000	na	12133881	chrcontig5	CAKNBG010000005.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig15	unplaced-scaffold	na	na	CAKNBG010000015.1	<>	na	Primary Assembly	1068000	na	12133881	chrcontig15	CAKNBG010000015.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig23	unplaced-scaffold	na	na	CAKNBG010000023.1	<>	na	Primary Assembly	1041124	na	12133881	chrcontig23	CAKNBG010000023.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig39	unplaced-scaffold	na	na	CAKNBG010000039.1	<>	na	Primary Assembly	1013046	na	12133881	chrcontig39	CAKNBG010000039.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig46	unplaced-scaffold	na	na	CAKNBG010000046.1	<>	na	Primary Assembly	1838000	na	12133881	chrcontig46	CAKNBG010000046.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig49	unplaced-scaffold	na	na	CAKNBG010000049.1	<>	na	Primary Assembly	1987000	na	12133881	chrcontig49	CAKNBG010000049.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig50	unplaced-scaffold	na	na	CAKNBG010000050.1	<>	na	Primary Assembly	2853227	na	12133881	chrcontig50	CAKNBG010000050.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig73	unplaced-scaffold	na	na	CAKNBG010000073.1	<>	na	Primary Assembly	1394665	na	12133881	chrcontig73	CAKNBG010000073.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig84	unplaced-scaffold	na	na	CAKNBG010000084.1	<>	na	Primary Assembly	4290000	na	12133881	chrcontig84	CAKNBG010000084.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig94	unplaced-scaffold	na	na	CAKNBG010000094.1	<>	na	Primary Assembly	7272000	na	12133881	chrcontig94	CAKNBG010000094.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig103	unplaced-scaffold	na	na	CAKNBG010000103.1	<>	na	Primary Assembly	1074000	na	12133881	chrcontig103	CAKNBG010000103.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig118	unplaced-scaffold	na	na	CAKNBG010000118.1	<>	na	Primary Assembly	2423077	na	12133881	chrcontig118	CAKNBG010000118.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig120	unplaced-scaffold	na	na	CAKNBG010000120.1	<>	na	Primary Assembly	2953620	na	12133881	chrcontig120	CAKNBG010000120.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig137	unplaced-scaffold	na	na	CAKNBG010000137.1	<>	na	Primary Assembly	2635000	na	12133881	chrcontig137	CAKNBG010000137.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig162	unplaced-scaffold	na	na	CAKNBG010000162.1	<>	na	Primary Assembly	1191919	na	12133881	chrcontig162	CAKNBG010000162.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig178	unplaced-scaffold	na	na	CAKNBG010000178.1	<>	na	Primary Assembly	1970000	na	12133881	chrcontig178	CAKNBG010000178.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig182	unplaced-scaffold	na	na	CAKNBG010000182.1	<>	na	Primary Assembly	1575066	na	12133881	chrcontig182	CAKNBG010000182.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig184	unplaced-scaffold	na	na	CAKNBG010000184.1	<>	na	Primary Assembly	3048000	na	12133881	chrcontig184	CAKNBG010000184.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig201	unplaced-scaffold	na	na	CAKNBG010000201.1	<>	na	Primary Assembly	1021000	na	12133881	chrcontig201	CAKNBG010000201.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig234	unplaced-scaffold	na	na	CAKNBG010000234.1	<>	na	Primary Assembly	4336000	na	12133881	chrcontig234	CAKNBG010000234.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig252	unplaced-scaffold	na	na	CAKNBG010000252.1	<>	na	Primary Assembly	1055000	na	12133881	chrcontig252	CAKNBG010000252.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig268	unplaced-scaffold	na	na	CAKNBG010000268.1	<>	na	Primary Assembly	1143023	na	12133881	chrcontig268	CAKNBG010000268.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig278	unplaced-scaffold	na	na	CAKNBG010000278.1	<>	na	Primary Assembly	1538000	na	12133881	chrcontig278	CAKNBG010000278.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig284	unplaced-scaffold	na	na	CAKNBG010000284.1	<>	na	Primary Assembly	1627000	na	12133881	chrcontig284	CAKNBG010000284.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig286	unplaced-scaffold	na	na	CAKNBG010000286.1	<>	na	Primary Assembly	1133833	na	12133881	chrcontig286	CAKNBG010000286.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig297	unplaced-scaffold	na	na	CAKNBG010000297.1	<>	na	Primary Assembly	3214000	na	12133881	chrcontig297	CAKNBG010000297.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig301	unplaced-scaffold	na	na	CAKNBG010000301.1	<>	na	Primary Assembly	1029000	na	12133881	chrcontig301	CAKNBG010000301.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig305	unplaced-scaffold	na	na	CAKNBG010000305.1	<>	na	Primary Assembly	5973000	na	12133881	chrcontig305	CAKNBG010000305.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig306	unplaced-scaffold	na	na	CAKNBG010000306.1	<>	na	Primary Assembly	1181000	na	12133881	chrcontig306	CAKNBG010000306.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig327	unplaced-scaffold	na	na	CAKNBG010000327.1	<>	na	Primary Assembly	1811622	na	12133881	chrcontig327	CAKNBG010000327.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig329	unplaced-scaffold	na	na	CAKNBG010000329.1	<>	na	Primary Assembly	1054804	na	12133881	chrcontig329	CAKNBG010000329.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig339	unplaced-scaffold	na	na	CAKNBG010000339.1	<>	na	Primary Assembly	1589000	na	12133881	chrcontig339	CAKNBG010000339.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig367	unplaced-scaffold	na	na	CAKNBG010000367.1	<>	na	Primary Assembly	1499000	na	12133881	chrcontig367	CAKNBG010000367.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig381	unplaced-scaffold	na	na	CAKNBG010000381.1	<>	na	Primary Assembly	1156000	na	12133881	chrcontig381	CAKNBG010000381.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig391	unplaced-scaffold	na	na	CAKNBG010000391.1	<>	na	Primary Assembly	1542000	na	12133881	chrcontig391	CAKNBG010000391.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
contig400	unplaced-scaffold	na	na	CAKNBG010000400.1	<>	na	Primary Assembly	1265000	na	12133881	chrcontig400	CAKNBG010000400.1	ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna
Superscaffold_1	assembled-molecule	1	Chromosome	CM012114.1	=	NC_044244.1	Primary Assembly	197551010	na	2926781	chrSuperscaffold_1	NC_044244.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_2	assembled-molecule	2	Chromosome	CM012115.1	=	NC_044245.1	Primary Assembly	151342139	na	2926781	chrSuperscaffold_2	NC_044245.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_3	assembled-molecule	3	Chromosome	CM012116.1	=	NC_044246.1	Primary Assembly	114810999	na	2926781	chrSuperscaffold_3	NC_044246.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_4	assembled-molecule	4	Chromosome	CM012117.1	=	NC_044247.1	Primary Assembly	18597117	na	2926781	chrSuperscaffold_4	NC_044247.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_4A	assembled-molecule	4A	Chromosome	CM012143.1	=	NC_044248.1	Primary Assembly	44745344	na	2926781	chrSuperscaffold_4A	NC_044248.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_4B	assembled-molecule	4B	Chromosome	CM012144.1	=	NC_044249.1	Primary Assembly	23291945	na	2926781	chrSuperscaffold_4B	NC_044249.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_5	assembled-molecule	5	Chromosome	CM012118.1	=	NC_044250.1	Primary Assembly	16645885	na	2926781	chrSuperscaffold_5	NC_044250.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_5A	assembled-molecule	5A	Chromosome	CM012145.1	=	NC_044251.1	Primary Assembly	43880846	na	2926781	chrSuperscaffold_5A	NC_044251.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_6	assembled-molecule	6	Chromosome	CM012119.1	=	NC_044252.1	Primary Assembly	35401958	na	2926781	chrSuperscaffold_6	NC_044252.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_7	assembled-molecule	7	Chromosome	CM012120.1	=	NC_044253.1	Primary Assembly	39139214	na	2926781	chrSuperscaffold_7	NC_044253.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_8	assembled-molecule	8	Chromosome	CM012121.1	=	NC_044254.1	Primary Assembly	31090148	na	2926781	chrSuperscaffold_8	NC_044254.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_9	assembled-molecule	9	Chromosome	CM012122.1	=	NC_044255.1	Primary Assembly	25686456	na	2926781	chrSuperscaffold_9	NC_044255.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_10	assembled-molecule	10	Chromosome	CM012123.1	=	NC_044256.1	Primary Assembly	22664390	na	2926781	chrSuperscaffold_10	NC_044256.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_11	assembled-molecule	11	Chromosome	CM012124.1	=	NC_044257.1	Primary Assembly	20302349	na	2926781	chrSuperscaffold_11	NC_044257.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_12	assembled-molecule	12	Chromosome	CM012125.1	=	NC_044258.1	Primary Assembly	21352500	na	2926781	chrSuperscaffold_12	NC_044258.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_13	assembled-molecule	13	Chromosome	CM012126.1	=	NC_044259.1	Primary Assembly	17696115	na	2926781	chrSuperscaffold_13	NC_044259.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_14	assembled-molecule	14	Chromosome	CM012127.1	=	NC_044260.1	Primary Assembly	15497061	na	2926781	chrSuperscaffold_14	NC_044260.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_15	assembled-molecule	15	Chromosome	CM012128.1	=	NC_044261.1	Primary Assembly	13887164	na	2926781	chrSuperscaffold_15	NC_044261.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_17	assembled-molecule	17	Chromosome	CM012129.1	=	NC_044262.1	Primary Assembly	10473655	na	2926781	chrSuperscaffold_17	NC_044262.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_18	assembled-molecule	18	Chromosome	CM012130.1	=	NC_044263.1	Primary Assembly	11617720	na	2926781	chrSuperscaffold_18	NC_044263.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_19	assembled-molecule	19	Chromosome	CM012131.1	=	NC_044264.1	Primary Assembly	11166003	na	2926781	chrSuperscaffold_19	NC_044264.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_20	assembled-molecule	20	Chromosome	CM012132.1	=	NC_044265.1	Primary Assembly	15116875	na	2926781	chrSuperscaffold_20	NC_044265.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_21	assembled-molecule	21	Chromosome	CM012133.1	=	NC_044266.1	Primary Assembly	7710055	na	2926781	chrSuperscaffold_21	NC_044266.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_22	assembled-molecule	22	Chromosome	CM012134.1	=	NC_044267.1	Primary Assembly	5198135	na	2926781	chrSuperscaffold_22	NC_044267.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_23	assembled-molecule	23	Chromosome	CM012135.1	=	NC_044268.1	Primary Assembly	6423903	na	2926781	chrSuperscaffold_23	NC_044268.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_24	assembled-molecule	24	Chromosome	CM012136.1	=	NC_044269.1	Primary Assembly	6461084	na	2926781	chrSuperscaffold_24	NC_044269.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_25	assembled-molecule	25	Chromosome	CM012137.1	=	NC_044270.1	Primary Assembly	2161911	na	2926781	chrSuperscaffold_25	NC_044270.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_26	assembled-molecule	26	Chromosome	CM012138.1	=	NC_044271.1	Primary Assembly	6306732	na	2926781	chrSuperscaffold_26	NC_044271.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_27	assembled-molecule	27	Chromosome	CM012139.1	=	NC_044272.1	Primary Assembly	5749075	na	2926781	chrSuperscaffold_27	NC_044272.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_28	assembled-molecule	28	Chromosome	CM012140.1	=	NC_044273.1	Primary Assembly	5713987	na	2926781	chrSuperscaffold_28	NC_044273.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_Z	assembled-molecule	Z	Chromosome	CM012142.1	=	NC_044274.1	Primary Assembly	74081004	na	2926781	chrSuperscaffold_Z	NC_044274.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
scaffold_176_arrow_ctg1	assembled-molecule	W	Chromosome	CM012146.1	=	NC_044276.1	Primary Assembly	26448777	na	2926781	chrscaffold_176_arrow_ctg1	NC_044276.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
Superscaffold_33	assembled-molecule	33	Chromosome	CM012141.1	=	NC_044275.1	Primary Assembly	1888140	na	2926781	chrSuperscaffold_33	NC_044275.1	CALAN	GCF_003957555.1_bCalAnn1_v1.p_genomic.fna
SUPER_1	assembled-molecule	1	Chromosome	CM026666.1	=	NC_051187.1	Primary Assembly	126922963	na	8408751	chrSUPER_1	NC_051187.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_2	assembled-molecule	2	Chromosome	CM026667.1	=	NC_051188.1	Primary Assembly	122153554	na	8408751	chrSUPER_2	NC_051188.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_3	assembled-molecule	3	Chromosome	CM026668.1	=	NC_051189.1	Primary Assembly	121276792	na	8408751	chrSUPER_3	NC_051189.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_4	assembled-molecule	4	Chromosome	CM026669.1	=	NC_051190.1	Primary Assembly	112438257	na	8408751	chrSUPER_4	NC_051190.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_5	assembled-molecule	5	Chromosome	CM026670.1	=	NC_051191.1	Primary Assembly	92439089	na	8408751	chrSUPER_5	NC_051191.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_6	assembled-molecule	6	Chromosome	CM026671.1	=	NC_051192.1	Primary Assembly	91094845	na	8408751	chrSUPER_6	NC_051192.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_7	assembled-molecule	7	Chromosome	CM026672.1	=	NC_051193.1	Primary Assembly	72902640	na	8408751	chrSUPER_7	NC_051193.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_8	assembled-molecule	8	Chromosome	CM026673.1	=	NC_051194.1	Primary Assembly	65417759	na	8408751	chrSUPER_8	NC_051194.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_9	assembled-molecule	9	Chromosome	CM026674.1	=	NC_051195.1	Primary Assembly	54018959	na	8408751	chrSUPER_9	NC_051195.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_10	assembled-molecule	10	Chromosome	CM026675.1	=	NC_051196.1	Primary Assembly	38161925	na	8408751	chrSUPER_10	NC_051196.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_11	assembled-molecule	11	Chromosome	CM026676.1	=	NC_051197.1	Primary Assembly	35666015	na	8408751	chrSUPER_11	NC_051197.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_12	assembled-molecule	12	Chromosome	CM026677.1	=	NC_051198.1	Primary Assembly	33884028	na	8408751	chrSUPER_12	NC_051198.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_13	assembled-molecule	13	Chromosome	CM026678.1	=	NC_051199.1	Primary Assembly	30790089	na	8408751	chrSUPER_13	NC_051199.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_14	assembled-molecule	14	Chromosome	CM026679.1	=	NC_051200.1	Primary Assembly	24097451	na	8408751	chrSUPER_14	NC_051200.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_15	assembled-molecule	15	Chromosome	CM026680.1	=	NC_051201.1	Primary Assembly	23311196	na	8408751	chrSUPER_15	NC_051201.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_16	assembled-molecule	16	Chromosome	CM026681.1	=	NC_051202.1	Primary Assembly	8171160	na	8408751	chrSUPER_16	NC_051202.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_17	assembled-molecule	17	Chromosome	CM026682.1	=	NC_051203.1	Primary Assembly	7845494	na	8408751	chrSUPER_17	NC_051203.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_18	assembled-molecule	18	Chromosome	CM026683.1	=	NC_051204.1	Primary Assembly	6718660	na	8408751	chrSUPER_18	NC_051204.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_19	assembled-molecule	19	Chromosome	CM026684.1	=	NC_051205.1	Primary Assembly	6450865	na	8408751	chrSUPER_19	NC_051205.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_20	assembled-molecule	20	Chromosome	CM026685.1	=	NC_051206.1	Primary Assembly	6217219	na	8408751	chrSUPER_20	NC_051206.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_21	assembled-molecule	21	Chromosome	CM026686.1	=	NC_051207.1	Primary Assembly	485429	na	8408751	chrSUPER_21	NC_051207.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_22	assembled-molecule	22	Chromosome	CM026687.1	=	NC_051208.1	Primary Assembly	425072	na	8408751	chrSUPER_22	NC_051208.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_W	assembled-molecule	W	Chromosome	CM026688.1	=	NC_051209.1	Primary Assembly	25584520	na	8408751	chrSUPER_W	NC_051209.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
SUPER_Z	assembled-molecule	Z	Chromosome	CM026689.1	=	NC_051210.1	Primary Assembly	84785561	na	8408751	chrSUPER_Z	NC_051210.1	FALRU	GCF_015220075.1_bFalRus1.pri_genomic.fna
S1	assembled-molecule	1	Chromosome	CM013761.2	=	NC_044277.2	Primary Assembly	155644563	na	6098431	chrS1	NC_044277.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S2	assembled-molecule	2	Chromosome	CM013762.2	=	NC_044278.2	Primary Assembly	123023803	na	6098431	chrS2	NC_044278.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S4	assembled-molecule	3	Chromosome	CM013764.2	=	NC_044279.2	Primary Assembly	89082643	na	6098431	chrS4	NC_044279.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S5	assembled-molecule	4	Chromosome	CM013765.1	=	NC_046358.1	Primary Assembly	86460390	na	6098431	chrS5	NC_046358.1	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S6	assembled-molecule	5	Chromosome	CM013766.2	=	NC_044281.2	Primary Assembly	83240647	na	6098431	chrS6	NC_044281.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S7	assembled-molecule	6	Chromosome	CM013767.2	=	NC_044282.2	Primary Assembly	76431904	na	6098431	chrS7	NC_044282.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S8	assembled-molecule	7	Chromosome	CM013768.2	=	NC_044283.2	Primary Assembly	70131234	na	6098431	chrS8	NC_044283.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S9	assembled-molecule	8	Chromosome	CM013769.2	=	NC_044284.2	Primary Assembly	63488934	na	6098431	chrS9	NC_044284.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S10	assembled-molecule	9	Chromosome	CM013770.2	=	NC_044285.2	Primary Assembly	44431488	na	6098431	chrS10	NC_044285.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S11	assembled-molecule	10	Chromosome	CM013771.1	=	NC_046359.1	Primary Assembly	43764472	na	6098431	chrS11	NC_046359.1	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S12	assembled-molecule	11	Chromosome	CM013772.1	=	NC_046360.1	Primary Assembly	39187110	na	6098431	chrS12	NC_046360.1	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S14	assembled-molecule	12	Chromosome	CM013774.2	=	NC_044288.2	Primary Assembly	27433492	na	6098431	chrS14	NC_044288.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S15	assembled-molecule	13	Chromosome	CM013775.2	=	NC_044289.2	Primary Assembly	16476160	na	6098431	chrS15	NC_044289.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S17	assembled-molecule	14	Chromosome	CM013776.2	=	NC_044290.2	Primary Assembly	12884122	na	6098431	chrS17	NC_044290.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S18	assembled-molecule	15	Chromosome	CM013777.2	=	NC_044291.2	Primary Assembly	12307978	na	6098431	chrS18	NC_044291.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S19	assembled-molecule	16	Chromosome	CM013778.2	=	NC_044292.2	Primary Assembly	8419051	na	6098431	chrS19	NC_044292.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S20	assembled-molecule	17	Chromosome	CM013779.2	=	NC_044293.2	Primary Assembly	7441144	na	6098431	chrS20	NC_044293.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S21	assembled-molecule	18	Chromosome	CM013780.2	=	NC_044294.2	Primary Assembly	6734548	na	6098431	chrS21	NC_044294.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S22	assembled-molecule	19	Chromosome	CM013781.2	=	NC_044295.2	Primary Assembly	5789228	na	6098431	chrS22	NC_044295.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S23	assembled-molecule	20	Chromosome	CM013782.2	=	NC_044296.2	Primary Assembly	5645757	na	6098431	chrS23	NC_044296.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S24	assembled-molecule	21	Chromosome	CM013783.2	=	NC_044297.2	Primary Assembly	5492648	na	6098431	chrS24	NC_044297.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S26	assembled-molecule	22	Chromosome	CM013784.2	=	NC_044298.2	Primary Assembly	2907026	na	6098431	chrS26	NC_044298.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S25	assembled-molecule	23	Chromosome	CM013785.2	=	NC_044299.2	Primary Assembly	2785283	na	6098431	chrS25	NC_044299.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S13	assembled-molecule	W	Chromosome	CM013773.2	=	NC_044301.2	Primary Assembly	37425726	na	6098431	chrS13	NC_044301.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S3	assembled-molecule	Z	Chromosome	CM013763.2	=	NC_044302.2	Primary Assembly	101869369	na	6098431	chrS3	NC_044302.2	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
S16	unlocalized-scaffold	13	Chromosome	RXXE02000016.1	=	NW_022651054.1	Primary Assembly	12224398	na	6098431	chrS16	NW_022651054.1	STRHB	GCF_004027225.2_bStrHab1.2.pri_genomic.fna
Chr1	assembled-molecule	1	Chromosome	CM029888.1	<>	na	Primary Assembly	135784184	na	9678071	chrChr1	CM029888.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr2	assembled-molecule	2	Chromosome	CM029889.1	<>	na	Primary Assembly	126756607	na	9678071	chrChr2	CM029889.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr3	assembled-molecule	3	Chromosome	CM029890.1	<>	na	Primary Assembly	120665646	na	9678071	chrChr3	CM029890.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr4	assembled-molecule	4	Chromosome	CM029891.1	<>	na	Primary Assembly	89048441	na	9678071	chrChr4	CM029891.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
Chr5	assembled-molecule	5	Chromosome	CM029892.1	<>	na	Primary Assembly	87369712	na	9678071	chrChr5	CM029892.1	AMAAE	GCA_017639355.1_Aaes_hic_genomic.fna
